,6,8
0,6,7
1,6,4
2,6,4
3,5,7
4,5,7
5,5,7
6,1,2
7,1,2
8,3,6
9,5,7
10,1,8
11,3,5
12,4,3
13,5,8
14,3,5
15,4,3
16,4,3
17,2,6
18,2,6
19,2,6
20,2,6
21,2,6
22,5,7
23,1,2
24,1,2
25,3,5
26,4,3
27,4,3
28,5,7
29,6,4
30,5,7
31,2,1
32,5,7
33,5,7
34,6,1
35,1,8
36,3,8
37,4,3
38,4,3
39,1,2
40,3,5
41,4,1
42,6,4
43,2,6
44,5,7
45,3,5
46,3,5
47,3,5
48,2,6
49,2,6
50,2,6
51,2,6
52,6,4
53,6,4
54,6,4
55,6,4
56,5,7
57,1,2
58,1,2
59,1,8
60,5,1
61,2,1
62,6,4
63,5,7
64,5,1
65,4,8
66,4,1
67,6,4
68,6,4
69,6,4
70,6,1
71,6,1
72,6,4
73,5,7
74,5,1
75,6,4
76,6,1
77,6,4
78,6,4
79,6,4
80,6,1
81,5,1
82,6,1
83,5,7
84,1,2
85,1,2
86,1,2
87,5,8
88,5,7
89,5,1
90,5,1
91,4,3
92,4,3
93,3,5
94,4,3
95,5,7
96,4,8
97,4,7
98,5,7
99,3,8
100,1,8
101,3,5
102,4,3
103,5,2
104,1,8
105,4,3
106,4,3
107,5,7
108,1,8
109,4,3
110,5,7
111,1,2
112,3,5
113,2,6
114,2,6
115,3,5
116,2,6
117,2,6
118,6,4
119,5,1
120,1,2
121,1,2
122,2,6
123,4,3
124,2,6
125,5,7
126,3,5
127,4,3
128,6,7
129,6,7
130,5,7
131,1,2
132,5,8
133,5,7
134,5,8
135,5,2
136,1,8
137,3,5
138,4,3
139,4,3
140,4,3
141,6,1
142,2,1
143,2,6
144,3,5
145,2,6
146,1,2
147,5,1
148,1,2
149,1,2
150,1,2
151,1,2
152,2,2
153,2,6
154,2,6
155,2,6
156,3,5
157,1,8
158,1,8
159,1,8
160,1,8
161,4,1
162,5,7
163,5,7
164,5,7
165,5,8
166,4,1
167,6,1
168,6,4
169,5,7
170,5,1
171,6,1
172,6,1
173,6,1
174,6,1
175,2,1
176,2,6
177,2,6
178,2,6
179,2,1
180,6,4
181,6,4
182,3,5
183,3,5
184,3,5
185,3,5
186,1,2
187,3,5
188,3,5
189,2,6
190,4,3
191,4,3
192,3,5
193,3,5
194,3,5
195,3,5
196,3,5
197,3,5
198,3,5
199,3,5
200,3,5
201,3,5
202,3,5
203,2,6
204,1,2
205,3,5
206,2,6
207,4,3
208,4,3
209,2,3
210,5,7
211,5,7
212,5,8
213,5,7
214,4,8
215,5,7
216,5,7
217,5,7
218,4,8
219,4,3
220,6,4
221,5,7
222,4,3
223,6,7
224,6,1
225,6,4
226,6,7
227,4,3
228,6,4
229,5,7
230,5,8
231,2,6
232,4,1
233,4,3
234,4,3
235,5,7
236,1,8
237,3,5
238,4,6
239,4,1
240,5,1
241,5,8
242,1,8
243,1,2
244,3,5
245,2,6
246,2,6
247,2,6
248,2,6
249,2,6
250,6,4
251,6,4
252,6,1
253,5,2
254,1,2
255,5,1
256,5,1
257,1,2
258,1,1
259,2,1
260,4,1
261,5,1
262,2,1
263,2,1
264,2,6
265,2,6
266,2,6
267,5,7
268,5,1
269,5,1
270,5,1
271,5,1
272,5,1
273,4,3
274,3,5
275,4,3
276,5,7
277,1,8
278,4,3
279,1,8
280,4,8
281,4,3
282,6,4
283,5,7
284,5,1
285,5,7
286,4,8
287,4,3
288,2,6
289,1,8
290,2,6
291,2,6
292,2,6
293,5,7
294,3,5
295,3,5
296,5,7
297,1,8
298,1,8
299,3,5
300,4,3
301,6,4
302,6,4
303,5,7
304,4,8
305,4,3
306,5,7
307,3,8
308,3,5
309,1,5
310,3,5
311,3,5
312,3,5
313,3,5
314,4,8
315,4,3
316,5,7
317,4,8
318,6,4
319,6,4
320,5,7
321,4,8
322,4,3
323,5,7
324,5,8
325,4,3
326,4,3
327,4,3
328,6,4
329,5,7
330,1,1
331,2,1
332,2,6
333,2,6
334,4,1
335,4,1
336,2,1
337,2,6
338,2,6
339,2,4
340,2,6
341,2,6
342,2,6
343,2,6
344,2,6
345,2,6
346,2,6
347,2,6
348,2,6
349,2,6
350,6,4
351,6,4
352,6,4
353,5,1
354,6,1
355,6,4
356,6,4
357,6,4
358,6,1
359,6,1
360,6,1
361,6,7
362,5,1
363,5,1
364,1,2
365,3,5
366,3,5
367,4,3
368,6,4
369,6,7
370,5,7
371,1,2
372,1,2
373,1,2
374,3,2
375,3,5
376,3,5
377,3,5
378,3,5
379,2,6
380,2,2
381,1,2
382,1,2
383,1,8
384,1,2
385,3,5
386,3,5
387,4,3
388,3,5
389,2,6
390,5,7
391,1,2
392,3,5
393,4,3
394,4,3
395,3,5
396,2,6
397,1,2
398,1,8
399,4,1
400,2,1
401,5,7
402,5,7
403,2,1
404,5,7
405,1,8
406,3,5
407,2,6
408,6,7
409,5,7
410,1,2
411,3,5
412,3,5
413,3,5
414,3,5
415,3,8
416,4,8
417,2,2
418,1,2
419,1,5
420,3,5
421,2,6
422,5,1
423,5,7
424,6,7
425,5,7
426,5,7
427,5,7
428,1,8
429,1,8
430,4,1
431,6,7
432,5,7
433,1,1
434,6,1
435,6,1
436,2,6
437,2,6
438,2,1
439,5,7
