,0
0,6
1,6
2,1
3,1
4,6
5,1
6,1
7,1
8,2
9,6
10,1
11,6
12,6
13,5
14,1
15,1
16,6
17,1
18,1
19,7
20,5
21,1
22,2
23,6
24,6
25,1
26,6
27,6
28,1
29,1
30,1
31,3
32,5
33,5
34,3
35,3
36,3
37,4
38,3
39,3
40,3
41,3
42,3
43,4
44,7
45,7
46,7
47,7
48,6
49,6
50,6
51,6
52,5
53,3
54,4
55,4
56,4
57,5
58,3
59,7
60,6
61,6
62,5
63,3
64,1
65,7
66,7
67,4
68,5
69,5
70,5
71,5
72,1
73,5
74,3
75,4
76,4
77,4
78,4
79,7
80,7
81,7
82,7
83,5
84,5
85,6
86,5
87,5
88,5
89,3
90,4
91,6
92,6
93,1
94,6
95,6
96,1
97,1
98,1
99,6
100,1
101,1
102,1
103,6
104,1
105,1
106,6
107,5
108,1
109,6
110,6
111,6
112,1
113,1
114,1
115,6
116,1
117,1
118,7
119,6
120,1
121,2
122,3
123,3
124,3
125,1
126,2
127,1
128,1
129,1
130,1
131,3
132,3
133,4
134,4
135,7
136,7
137,6
138,5
139,3
140,4
141,4
142,4
143,7
144,6
145,5
146,3
147,4
148,5
149,4
150,7
151,4
152,4
153,4
154,7
155,5
156,3
157,4
158,4
159,3
160,5
161,4
162,4
163,4
164,7
165,7
166,7
167,4
168,7
169,3
170,4
171,7
172,5
173,4
174,7
175,5
176,3
177,7
178,7
179,5
180,3
181,4
182,2
183,2
184,2
185,2
186,2
187,2
188,6
189,5
190,3
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,3
201,4
202,1
203,1
204,2
205,2
206,7
207,6
208,5
209,1
210,4
211,7
212,1
213,3
214,4
215,4
216,1
217,1
218,3
219,4
220,4
221,2
222,2
223,2
224,2
225,6
226,2
227,2
228,2
229,5
230,3
231,7
232,7
233,7
234,5
235,1
236,5
237,5
238,5
239,1
240,2
241,6
242,6
243,6
244,7
245,7
246,7
247,7
248,3
249,4
250,4
251,7
252,7
253,1
254,2
255,2
256,2
257,2
258,3
259,3
260,3
261,4
262,3
263,3
264,4
265,4
266,4
267,4
268,4
269,5
270,4
271,4
272,4
273,6
274,1
275,1
276,1
277,6
278,6
279,2
280,6
281,6
282,6
283,6
284,6
285,6
286,6
287,2
288,2
289,2
290,1
291,1
292,5
293,1
294,2
295,1
296,1
297,2
298,2
299,5
300,1
301,6
302,6
303,1
304,2
305,6
306,1
307,6
308,6
309,6
310,6
311,2
312,2
313,2
314,2
315,5
316,3
317,3
318,3
319,4
320,7
321,6
322,5
323,1
324,7
325,7
326,2
327,2
328,2
329,2
330,7
331,6
332,5
333,7
334,1
335,5
336,5
337,5
338,3
339,4
340,7
341,7
342,7
343,7
344,7
345,5
346,3
347,7
348,3
349,7
350,7
351,7
352,2
353,6
354,6
355,2
356,2
357,4
358,7
359,7
360,7
361,7
362,5
363,4
364,1
365,1
366,1
367,6
368,1
369,5
370,1
371,1
372,6
373,1
374,1
375,1
376,1
377,2
378,2
379,6
380,1
381,6
382,6
383,6
384,5
385,3
386,1
387,7
388,6
389,6
390,2
391,2
392,2
393,2
394,6
395,1
396,1
397,1
398,5
399,1
400,1
401,6
402,2
403,2
404,6
405,5
406,5
407,5
408,1
409,7
410,6
411,6
412,2
413,2
414,2
415,2
416,5
417,2
418,2
419,4
420,4
421,4
422,4
423,7
424,7
425,6
426,6
427,7
428,2
429,3
430,3
431,4
432,7
433,7
434,5
435,3
436,4
437,4
438,4
439,5
440,3
441,3
442,4
443,7
444,5
445,3
446,4
447,7
448,5
449,3
450,4
451,7
452,5
453,3
454,4
455,1
456,1
457,1
458,1
459,1
460,2
461,6
462,6
463,6
464,5
465,1
466,1
467,6
468,1
469,1
470,1
471,6
472,6
473,2
474,1
475,1
476,6
477,6
478,6
479,6
480,1
481,7
482,6
483,2
484,2
485,2
486,2
487,4
488,4
489,7
490,7
491,6
492,6
493,6
494,6
495,6
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,5
504,1
505,5
506,6
507,6
508,6
509,6
510,6
511,6
512,5
513,1
514,6
515,6
516,6
517,1
518,2
519,5
520,3
521,3
522,4
523,7
524,7
525,5
526,3
527,3
528,4
529,4
530,7
531,3
532,4
533,7
534,4
535,4
536,7
537,7
538,7
539,4
540,7
541,7
542,6
543,5
544,3
545,4
546,6
547,6
548,6
549,1
550,1
551,1
552,6
553,1
554,1
555,1
556,1
557,2
558,2
559,2
560,6
561,6
562,6
563,6
564,6
565,6
566,6
567,6
568,6
569,5
570,6
571,5
572,3
573,1
574,6
575,6
576,5
577,1
578,6
579,5
580,5
581,3
582,1
583,6
584,6
585,6
586,1
587,7
588,5
589,1
590,5
591,1
592,7
593,6
594,6
595,7
596,2
597,6
598,6
599,6
600,1
601,7
602,1
603,1
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,3
612,3
613,3
614,3
615,7
616,5
617,7
618,6
619,7
620,7
621,7
622,7
623,5
624,7
625,6
626,5
627,7
628,5
629,4
630,4
631,7
632,7
633,1
634,5
635,7
636,7
637,6
638,6
639,6
640,6
641,1
642,1
643,1
644,1
645,6
646,6
647,5
648,5
649,1
650,1
651,7
652,1
653,2
654,6
655,6
656,6
657,6
658,6
659,5
660,1
661,1
662,6
663,1
664,6
665,6
666,6
667,1
668,1
669,6
670,1
671,4
672,4
673,7
674,5
675,1
676,2
677,6
678,6
679,5
680,5
681,3
