,Pattern,Count,Percent,,,,,,,,,,,,,,,,,
12,,,9.945184025,,,,,,,,,,,,,,,,,
8,,,8.927173062,,,,,,,,,,,,,,,,,
4,,,7.047768207,,,,,,,,,,,,,,,,,
5,,,6.8128426,,,,,,,,,,Sequence,Count,,Sequence,Count,,Sequence,Count
1,,,6.421299922,,,,,,,,,Length 2 Sequences,"(6, 1)",205,Length 3 Sequences,"(1, 2, 6)",57,Length 4 Sequences,"(5, 3, 4, 7)",40
13,,,6.421299922,,,,,,,,,,"(7, 4)",127,,"(3, 4, 7)",49,,"(6, 1, 6, 1)",27
7,"(5, 3)",75,5.873140172,,,,,,,,,,"(3, 4)",114,,"(1, 6, 1)",41,,"(2, 6, 1, 6)",14
2,"(6, 5)",63,4.933437745,,,,,,,,,,"(5, 1)",90,,"(5, 3, 4)",38,,"(6, 1, 2, 6)",14
3,"(1, 7)",56,4.385277995,,,,,,,,,,"(2, 6)",87,,"(1, 6, 5)",37,,"(1, 6, 1, 5)",13
9,"(7, 6)",56,4.385277995,,,,,,,,,,"(1, 2)",82,,"(5, 4, 7)",32,,"(1, 6, 1, 2)",12
11,"(3, 7)",45,3.523884103,,,,,,,,,,"(7, 5)",82,,"(5, 3, 7)",30,,"(5, 1, 2, 6)",10
6,"(1, 3)",42,3.288958496,,,,,,,,,,,,,,,,,
10,"(4, 5)",29,2.270947533,,,,,,,,,,,,,,,,,
18,"(2, 5)",29,2.270947533,,,,,,,,,,,,,,,,,
16,"(2, 7)",25,1.957713391,,,,,,,,,,,,,,,,,
17,"(4, 2)",23,1.801096319,,,,,,,,,,,,,,,,,
15,"(4, 1)",22,1.722787784,,,,,,,,,,,,,,,,,
14,"(2, 3)",21,1.644479248,,,,,,,,,,,,,,,,,
19,"(6, 3)",4,0.313234143,,,,,,,,,,,,,,,,,
0,,,16.0532498,,,,,,,,,,,,,,,,,
