,Pattern,Count,Percent
0,"(1, 3)",14,4.794520547945205
1,"(5, 3)",22,7.534246575342466
2,"(3, 4)",23,7.876712328767123
3,"(7, 6)",17,5.821917808219178
4,"(6, 5)",18,6.164383561643835
5,"(4, 5)",6,2.054794520547945
6,"(2, 3)",10,3.4246575342465753
7,"(4, 7)",20,6.8493150684931505
8,"(4, 1)",10,3.4246575342465753
9,"(2, 6)",21,7.191780821917808
10,"(2, 5)",9,3.0821917808219177
11,"(7, 5)",10,3.4246575342465753
12,"(5, 1)",25,8.561643835616438
13,"(1, 2)",8,2.73972602739726
14,"(1, 6)",37,12.67123287671233
15,"(7, 2)",8,2.73972602739726
16,"(2, 4)",9,3.0821917808219177
17,"(1, 7)",19,6.506849315068493
18,"(3, 7)",6,2.054794520547945
