,Cluster,Month
0,6,Sep
1,6,Sep
2,1,Sep
3,1,Sep
4,6,Sep
5,1,Sep
6,1,Sep
7,1,Sep
8,2,Sep
9,6,Sep
10,1,Sep
11,6,Sep
12,6,Sep
13,5,Sep
14,1,Sep
15,1,Sep
16,6,Sep
17,1,Sep
18,1,Sep
19,7,Sep
20,5,Sep
21,1,Sep
22,2,Sep
23,6,Sep
24,6,Sep
25,1,Sep
26,6,Sep
27,6,Sep
28,1,Sep
29,1,Sep
30,1,Oct
31,3,Oct
32,5,Oct
33,5,Oct
34,3,Oct
35,3,Oct
36,3,Oct
37,4,Oct
38,3,Oct
39,3,Oct
40,3,Oct
41,3,Oct
42,3,Oct
43,4,Oct
44,7,Oct
45,7,Oct
46,7,Oct
47,7,Oct
48,6,Oct
49,6,Oct
50,6,Oct
51,6,Oct
52,5,Oct
53,3,Oct
54,4,Oct
55,4,Oct
56,4,Oct
57,5,Oct
58,3,Oct
59,7,Oct
60,6,Oct
61,6,Nov
62,5,Nov
63,3,Nov
64,1,Nov
65,7,Nov
66,7,Nov
67,4,Nov
68,5,Nov
69,5,Nov
70,5,Nov
71,5,Nov
72,1,Nov
73,5,Nov
74,3,Nov
75,4,Nov
76,4,Nov
77,4,Nov
78,4,Nov
79,7,Nov
80,7,Nov
81,7,Nov
82,7,Nov
83,5,Nov
84,5,Nov
85,6,Nov
86,5,Nov
87,5,Nov
88,5,Nov
89,3,Nov
90,4,Nov
91,6,Sep
92,6,Sep
93,1,Sep
94,6,Sep
95,6,Sep
96,1,Sep
97,1,Sep
98,1,Sep
99,6,Sep
100,1,Sep
101,1,Sep
102,1,Sep
103,6,Sep
104,1,Sep
105,1,Sep
106,6,Sep
107,5,Sep
108,1,Sep
109,6,Sep
110,6,Sep
111,6,Sep
112,1,Sep
113,1,Sep
114,1,Sep
115,6,Sep
116,1,Sep
117,1,Sep
118,7,Sep
119,6,Sep
120,1,Sep
121,2,Oct
122,3,Oct
123,3,Oct
124,3,Oct
125,1,Oct
126,2,Oct
127,1,Oct
128,1,Oct
129,1,Oct
130,1,Oct
131,3,Oct
132,3,Oct
133,4,Oct
134,4,Oct
135,7,Oct
136,7,Oct
137,6,Oct
138,5,Oct
139,3,Oct
140,4,Oct
141,4,Oct
142,4,Oct
143,7,Oct
144,6,Oct
145,5,Oct
146,3,Oct
147,4,Oct
148,5,Oct
149,4,Oct
150,7,Oct
151,4,Oct
152,4,Nov
153,4,Nov
154,7,Nov
155,5,Nov
156,3,Nov
157,4,Nov
158,4,Nov
159,3,Nov
160,5,Nov
161,4,Nov
162,4,Nov
163,4,Nov
164,7,Nov
165,7,Nov
166,7,Nov
167,4,Nov
168,7,Nov
169,3,Nov
170,4,Nov
171,7,Nov
172,5,Nov
173,4,Nov
174,7,Nov
175,5,Nov
176,3,Nov
177,7,Nov
178,7,Nov
179,5,Nov
180,3,Nov
181,4,Nov
182,2,Sep
183,2,Sep
184,2,Sep
185,2,Sep
186,2,Sep
187,2,Sep
188,6,Sep
189,5,Sep
190,3,Sep
191,1,Sep
192,1,Sep
193,1,Sep
194,1,Sep
195,1,Sep
196,1,Sep
197,1,Sep
198,1,Sep
199,1,Sep
200,3,Sep
201,4,Sep
202,1,Sep
203,1,Sep
204,2,Sep
205,2,Sep
206,7,Sep
207,6,Sep
208,5,Sep
209,1,Sep
210,4,Sep
211,7,Sep
212,1,Oct
213,3,Oct
214,4,Oct
215,4,Oct
216,1,Oct
217,1,Oct
218,3,Oct
219,4,Oct
220,4,Oct
221,2,Oct
222,2,Oct
223,2,Oct
224,2,Oct
225,6,Oct
226,2,Oct
227,2,Oct
228,2,Oct
229,5,Oct
230,3,Oct
231,7,Oct
232,7,Oct
233,7,Oct
234,5,Oct
235,1,Oct
236,5,Oct
237,5,Oct
238,5,Oct
239,1,Oct
240,2,Oct
241,6,Oct
242,6,Oct
243,6,Nov
244,7,Nov
245,7,Nov
246,7,Nov
247,7,Nov
248,3,Nov
249,4,Nov
250,4,Nov
251,7,Nov
252,7,Nov
253,1,Nov
254,2,Nov
255,2,Nov
256,2,Nov
257,2,Nov
258,3,Nov
259,3,Nov
260,3,Nov
261,4,Nov
262,3,Nov
263,3,Nov
264,4,Nov
265,4,Nov
266,4,Nov
267,4,Nov
268,4,Nov
269,5,Nov
270,4,Nov
271,4,Nov
272,4,Nov
273,6,Sep
274,1,Sep
275,1,Sep
276,1,Sep
277,6,Sep
278,6,Sep
279,2,Sep
280,6,Sep
281,6,Sep
282,6,Sep
283,6,Sep
284,6,Sep
285,6,Sep
286,6,Sep
287,2,Sep
288,2,Sep
289,2,Sep
290,1,Sep
291,1,Sep
292,5,Sep
293,1,Sep
294,2,Sep
295,1,Sep
296,1,Sep
297,2,Sep
298,2,Sep
299,5,Sep
300,1,Sep
301,6,Sep
302,6,Sep
303,1,Oct
304,2,Oct
305,6,Oct
306,1,Oct
307,6,Oct
308,6,Oct
309,6,Oct
310,6,Oct
311,2,Oct
312,2,Oct
313,2,Oct
314,2,Oct
315,5,Oct
316,3,Oct
317,3,Oct
318,3,Oct
319,4,Oct
320,7,Oct
321,6,Oct
322,5,Oct
323,1,Oct
324,7,Oct
325,7,Oct
326,2,Oct
327,2,Oct
328,2,Oct
329,2,Oct
330,7,Oct
331,6,Oct
332,5,Oct
333,7,Oct
334,1,Nov
335,5,Nov
336,5,Nov
337,5,Nov
338,3,Nov
339,4,Nov
340,7,Nov
341,7,Nov
342,7,Nov
343,7,Nov
344,7,Nov
345,5,Nov
346,3,Nov
347,7,Nov
348,3,Nov
349,7,Nov
350,7,Nov
351,7,Nov
352,2,Nov
353,6,Nov
354,6,Nov
355,2,Nov
356,2,Nov
357,4,Nov
358,7,Nov
359,7,Nov
360,7,Nov
361,7,Nov
362,5,Nov
363,4,Nov
364,1,Sep
365,1,Sep
366,1,Sep
367,6,Sep
368,1,Sep
369,5,Sep
370,1,Sep
371,1,Sep
372,6,Sep
373,1,Sep
374,1,Sep
375,1,Sep
376,1,Sep
377,2,Sep
378,2,Sep
379,6,Sep
380,1,Sep
381,6,Sep
382,6,Sep
383,6,Sep
384,5,Sep
385,3,Sep
386,1,Sep
387,7,Sep
388,6,Sep
389,6,Sep
390,2,Sep
391,2,Sep
392,2,Sep
393,2,Sep
394,6,Oct
395,1,Oct
396,1,Oct
397,1,Oct
398,5,Oct
399,1,Oct
400,1,Oct
401,6,Oct
402,2,Oct
403,2,Oct
404,6,Oct
405,5,Oct
406,5,Oct
