,WT1,WT2,WT3,WT4,WT5,WT6,WT7,EarlySeason,LateSeason,Month,Year
0,14.0,2.0,0.0,0.0,2.0,11.0,1.0,27.0,3.0,Sep,1979
1,16.0,0.0,0.0,0.0,1.0,12.0,1.0,28.0,2.0,Sep,1980
2,12.0,8.0,2.0,2.0,2.0,2.0,2.0,22.0,8.0,Sep,1981
3,9.0,7.0,0.0,0.0,2.0,12.0,0.0,28.0,2.0,Sep,1982
4,12.0,6.0,1.0,0.0,2.0,8.0,1.0,26.0,4.0,Sep,1983
5,13.0,4.0,0.0,0.0,1.0,11.0,1.0,28.0,2.0,Sep,1984
6,8.0,3.0,1.0,0.0,2.0,16.0,0.0,27.0,3.0,Sep,1985
7,10.0,1.0,0.0,0.0,3.0,15.0,1.0,26.0,4.0,Sep,1986
8,14.0,3.0,1.0,2.0,1.0,8.0,1.0,25.0,5.0,Sep,1987
9,15.0,0.0,1.0,0.0,2.0,12.0,0.0,27.0,3.0,Sep,1988
10,10.0,4.0,1.0,0.0,1.0,13.0,1.0,27.0,3.0,Sep,1989
11,11.0,2.0,3.0,1.0,3.0,9.0,1.0,22.0,8.0,Sep,1990
12,10.0,2.0,2.0,0.0,2.0,12.0,2.0,24.0,6.0,Sep,1991
13,8.0,1.0,0.0,0.0,6.0,15.0,0.0,24.0,6.0,Sep,1992
14,15.0,1.0,2.0,0.0,4.0,7.0,1.0,23.0,7.0,Sep,1993
15,13.0,6.0,2.0,1.0,3.0,4.0,1.0,23.0,7.0,Sep,1994
16,14.0,5.0,0.0,0.0,2.0,9.0,0.0,28.0,2.0,Sep,1995
17,13.0,5.0,3.0,1.0,3.0,4.0,1.0,22.0,8.0,Sep,1996
18,16.0,4.0,3.0,0.0,3.0,4.0,0.0,24.0,6.0,Sep,1997
19,20.0,2.0,1.0,2.0,0.0,5.0,0.0,27.0,3.0,Sep,1998
20,9.0,6.0,1.0,1.0,1.0,12.0,0.0,27.0,3.0,Sep,1999
21,12.0,2.0,2.0,0.0,3.0,10.0,1.0,24.0,6.0,Sep,2000
22,10.0,11.0,1.0,0.0,2.0,6.0,0.0,27.0,3.0,Sep,2001
23,8.0,1.0,1.0,1.0,2.0,17.0,0.0,26.0,4.0,Sep,2002
24,5.0,6.0,2.0,0.0,5.0,12.0,0.0,23.0,7.0,Sep,2003
25,9.0,3.0,0.0,0.0,0.0,18.0,0.0,30.0,0.0,Sep,2004
26,10.0,3.0,0.0,0.0,2.0,15.0,0.0,28.0,2.0,Sep,2005
27,11.0,8.0,3.0,0.0,6.0,2.0,0.0,21.0,9.0,Sep,2006
28,7.0,3.0,0.0,0.0,2.0,18.0,0.0,28.0,2.0,Sep,2007
29,13.0,7.0,0.0,0.0,1.0,9.0,0.0,29.0,1.0,Sep,2008
30,6.0,8.0,3.0,0.0,1.0,12.0,0.0,26.0,4.0,Sep,2009
31,12.0,4.0,1.0,0.0,4.0,9.0,0.0,25.0,5.0,Sep,2010
32,13.0,1.0,1.0,0.0,4.0,11.0,0.0,25.0,5.0,Sep,2011
33,13.0,2.0,0.0,0.0,6.0,9.0,0.0,24.0,6.0,Sep,2012
34,13.0,7.0,1.0,0.0,1.0,8.0,0.0,28.0,2.0,Sep,2013
35,11.0,4.0,0.0,0.0,0.0,15.0,0.0,30.0,0.0,Sep,2014
36,9.0,7.0,1.0,0.0,0.0,13.0,0.0,29.0,1.0,Sep,2015
37,7.0,7.0,0.0,0.0,2.0,14.0,0.0,28.0,2.0,Sep,2016
38,12.0,10.0,0.0,0.0,0.0,8.0,0.0,30.0,0.0,Sep,2017
39,4.0,4.0,0.0,0.0,2.0,20.0,0.0,28.0,2.0,Sep,2018
40,1.0,0.0,11.0,5.0,4.0,5.0,5.0,6.0,25.0,Oct,1979
41,5.0,2.0,7.0,8.0,3.0,2.0,4.0,9.0,22.0,Oct,1980
42,5.0,8.0,3.0,4.0,5.0,3.0,3.0,16.0,15.0,Oct,1981
43,3.0,9.0,3.0,1.0,3.0,7.0,5.0,19.0,12.0,Oct,1982
44,6.0,8.0,0.0,4.0,5.0,5.0,3.0,19.0,12.0,Oct,1983
45,2.0,9.0,0.0,2.0,3.0,13.0,2.0,24.0,7.0,Oct,1984
46,8.0,4.0,1.0,0.0,5.0,9.0,4.0,21.0,10.0,Oct,1985
47,6.0,5.0,2.0,2.0,5.0,4.0,7.0,15.0,16.0,Oct,1986
48,5.0,4.0,7.0,1.0,5.0,1.0,8.0,10.0,21.0,Oct,1987
49,2.0,3.0,8.0,5.0,4.0,2.0,7.0,7.0,24.0,Oct,1988
50,6.0,4.0,2.0,5.0,6.0,6.0,2.0,16.0,15.0,Oct,1989
51,9.0,0.0,3.0,3.0,2.0,8.0,6.0,17.0,14.0,Oct,1990
52,4.0,5.0,3.0,2.0,5.0,7.0,5.0,16.0,15.0,Oct,1991
53,6.0,3.0,4.0,6.0,3.0,3.0,6.0,12.0,19.0,Oct,1992
54,7.0,2.0,6.0,2.0,3.0,4.0,7.0,13.0,18.0,Oct,1993
55,4.0,9.0,3.0,5.0,5.0,4.0,1.0,17.0,14.0,Oct,1994
56,6.0,0.0,2.0,2.0,11.0,7.0,3.0,13.0,18.0,Oct,1995
57,4.0,6.0,3.0,2.0,4.0,5.0,7.0,15.0,16.0,Oct,1996
58,2.0,5.0,2.0,9.0,1.0,8.0,4.0,15.0,16.0,Oct,1997
59,7.0,5.0,2.0,5.0,0.0,6.0,6.0,18.0,13.0,Oct,1998
60,8.0,0.0,3.0,2.0,3.0,7.0,8.0,15.0,16.0,Oct,1999
61,8.0,8.0,0.0,5.0,0.0,6.0,4.0,22.0,9.0,Oct,2000
62,5.0,1.0,4.0,2.0,7.0,4.0,8.0,10.0,21.0,Oct,2001
63,6.0,2.0,2.0,6.0,2.0,7.0,6.0,15.0,16.0,Oct,2002
64,6.0,2.0,7.0,4.0,4.0,3.0,5.0,11.0,20.0,Oct,2003
65,1.0,11.0,5.0,2.0,3.0,5.0,4.0,17.0,14.0,Oct,2004
66,5.0,7.0,5.0,5.0,0.0,6.0,3.0,18.0,13.0,Oct,2005
67,3.0,3.0,7.0,6.0,6.0,4.0,2.0,10.0,21.0,Oct,2006
68,7.0,1.0,4.0,0.0,4.0,11.0,4.0,19.0,12.0,Oct,2007
69,5.0,4.0,6.0,3.0,1.0,6.0,6.0,15.0,16.0,Oct,2008
70,6.0,5.0,3.0,1.0,8.0,1.0,7.0,12.0,19.0,Oct,2009
71,3.0,4.0,6.0,12.0,4.0,0.0,2.0,7.0,24.0,Oct,2010
72,3.0,5.0,8.0,4.0,3.0,4.0,4.0,12.0,19.0,Oct,2011
73,7.0,2.0,5.0,3.0,7.0,4.0,3.0,13.0,18.0,Oct,2012
74,6.0,5.0,3.0,3.0,5.0,5.0,4.0,16.0,15.0,Oct,2013
75,3.0,5.0,6.0,6.0,9.0,1.0,1.0,9.0,22.0,Oct,2014
76,6.0,7.0,3.0,4.0,2.0,4.0,5.0,17.0,14.0,Oct,2015
77,6.0,5.0,2.0,3.0,1.0,9.0,5.0,20.0,11.0,Oct,2016
78,3.0,0.0,5.0,0.0,7.0,15.0,1.0,18.0,13.0,Oct,2017
79,3.0,0.0,6.0,5.0,2.0,9.0,6.0,12.0,19.0,Oct,2018
80,2.0,0.0,3.0,6.0,11.0,2.0,6.0,4.0,26.0,Nov,1979
81,0.0,0.0,5.0,11.0,5.0,0.0,9.0,0.0,30.0,Nov,1980
82,1.0,4.0,6.0,11.0,1.0,1.0,6.0,6.0,24.0,Nov,1981
83,1.0,3.0,3.0,3.0,5.0,2.0,13.0,6.0,24.0,Nov,1982
84,0.0,1.0,8.0,8.0,5.0,2.0,6.0,3.0,27.0,Nov,1983
85,1.0,1.0,6.0,8.0,3.0,2.0,9.0,4.0,26.0,Nov,1984
86,1.0,4.0,4.0,2.0,5.0,2.0,12.0,7.0,23.0,Nov,1985
87,3.0,0.0,3.0,4.0,7.0,3.0,10.0,6.0,24.0,Nov,1986
88,1.0,3.0,3.0,7.0,4.0,2.0,10.0,6.0,24.0,Nov,1987
89,1.0,0.0,6.0,7.0,8.0,0.0,8.0,1.0,29.0,Nov,1988
90,0.0,0.0,10.0,10.0,5.0,0.0,5.0,0.0,30.0,Nov,1989
91,2.0,1.0,6.0,8.0,3.0,0.0,10.0,3.0,27.0,Nov,1990
92,1.0,3.0,3.0,7.0,7.0,0.0,9.0,4.0,26.0,Nov,1991
93,0.0,2.0,7.0,3.0,8.0,0.0,10.0,2.0,28.0,Nov,1992
94,1.0,1.0,4.0,3.0,9.0,0.0,12.0,2.0,28.0,Nov,1993
95,3.0,1.0,4.0,6.0,5.0,2.0,9.0,6.0,24.0,Nov,1994
96,0.0,0.0,8.0,9.0,5.0,0.0,8.0,0.0,30.0,Nov,1995
97,0.0,0.0,5.0,8.0,2.0,1.0,14.0,1.0,29.0,Nov,1996
98,0.0,1.0,9.0,12.0,2.0,0.0,6.0,1.0,29.0,Nov,1997
99,0.0,0.0,3.0,12.0,4.0,0.0,11.0,0.0,30.0,Nov,1998
100,1.0,0.0,3.0,9.0,4.0,2.0,11.0,3.0,27.0,Nov,1999
101,0.0,7.0,5.0,14.0,2.0,0.0,2.0,7.0,23.0,Nov,2000
102,1.0,0.0,1.0,7.0,6.0,2.0,13.0,3.0,27.0,Nov,2001
103,0.0,1.0,5.0,12.0,6.0,0.0,6.0,1.0,29.0,Nov,2002
104,2.0,1.0,3.0,5.0,8.0,4.0,7.0,7.0,23.0,Nov,2003
105,2.0,1.0,3.0,3.0,4.0,0.0,17.0,3.0,27.0,Nov,2004
106,1.0,0.0,4.0,4.0,12.0,0.0,9.0,1.0,29.0,Nov,2005
107,1.0,5.0,6.0,4.0,5.0,3.0,6.0,9.0,21.0,Nov,2006
108,1.0,2.0,4.0,11.0,3.0,0.0,9.0,3.0,27.0,Nov,2007
109,0.0,3.0,9.0,9.0,2.0,2.0,5.0,5.0,25.0,Nov,2008
110,6.0,9.0,3.0,3.0,1.0,4.0,4.0,19.0,11.0,Nov,2009
111,0.0,7.0,6.0,5.0,4.0,0.0,8.0,7.0,23.0,Nov,2010
112,0.0,2.0,5.0,4.0,8.0,4.0,7.0,6.0,24.0,Nov,2011
113,0.0,6.0,2.0,12.0,1.0,2.0,7.0,8.0,22.0,Nov,2012
114,1.0,0.0,3.0,10.0,3.0,2.0,11.0,3.0,27.0,Nov,2013
115,1.0,0.0,5.0,11.0,8.0,0.0,5.0,1.0,29.0,Nov,2014
116,3.0,1.0,3.0,1.0,5.0,7.0,10.0,11.0,19.0,Nov,2015
117,1.0,3.0,2.0,9.0,3.0,2.0,10.0,6.0,24.0,Nov,2016
118,2.0,1.0,4.0,7.0,5.0,0.0,11.0,3.0,27.0,Nov,2017
119,2.0,0.0,8.0,7.0,5.0,0.0,8.0,2.0,28.0,Nov,2018
