,Year,Month,Day,Val1,Val2,Phase,Val3,Something
1675,1979,1,1,0.142507,1.05047,6,1.0600899,Final_value:__OLR_&_NCEP_winds
1676,1979,1,2,-0.2042,1.37361,7,1.3887,Final_value:__OLR_&_NCEP_winds
1677,1979,1,3,-0.15861,1.5394299999999999,7,1.54758,Final_value:__OLR_&_NCEP_winds
1678,1979,1,4,-0.18245,1.4597200000000001,7,1.4710798999999999,Final_value:__OLR_&_NCEP_winds
1679,1979,1,5,-0.32005,1.1368001,7,1.181,Final_value:__OLR_&_NCEP_winds
1680,1979,1,6,-0.43246001,1.16374,7,1.2415,Final_value:__OLR_&_NCEP_winds
1681,1979,1,7,-0.13584000000000002,1.31768,7,1.3246599,Final_value:__OLR_&_NCEP_winds
1682,1979,1,8,0.061,1.47088,6,1.47214,Final_value:__OLR_&_NCEP_winds
1683,1979,1,9,0.49881801,1.58413,6,1.66081,Final_value:__OLR_&_NCEP_winds
1684,1979,1,10,0.367908,1.81204,6,1.8490099999999998,Final_value:__OLR_&_NCEP_winds
1685,1979,1,11,-0.0752,1.8902900000000002,7,1.89178,Final_value:__OLR_&_NCEP_winds
1686,1979,1,12,-0.53951001,2.34341,7,2.4047201,Final_value:__OLR_&_NCEP_winds
1687,1979,1,13,-0.75461,2.3267901,7,2.4460900000000003,Final_value:__OLR_&_NCEP_winds
1688,1979,1,14,-0.97725999,1.9790699,7,2.2072001,Final_value:__OLR_&_NCEP_winds
1689,1979,1,15,-0.84601003,1.7326699,7,1.92818,Final_value:__OLR_&_NCEP_winds
1690,1979,1,16,-0.91780001,1.6566599999999998,7,1.8939101000000003,Final_value:__OLR_&_NCEP_winds
1691,1979,1,17,-0.81748003,2.2133999,7,2.35954,Final_value:__OLR_&_NCEP_winds
1692,1979,1,18,-1.01495,2.4197900000000003,7,2.6240301,Final_value:__OLR_&_NCEP_winds
1693,1979,1,19,-1.24433,2.2994499,7,2.6145401,Final_value:__OLR_&_NCEP_winds
1694,1979,1,20,-1.70406,1.84306,7,2.5101099,Final_value:__OLR_&_NCEP_winds
1695,1979,1,21,-2.2290201,1.30446,8,2.5826599999999997,Final_value:__OLR_&_NCEP_winds
1696,1979,1,22,-2.4181299,0.78733999,8,2.5430801,Final_value:__OLR_&_NCEP_winds
1697,1979,1,23,-2.19749,0.21646100000000001,8,2.2081299,Final_value:__OLR_&_NCEP_winds
1698,1979,1,24,-2.0982201000000003,-0.0352,1,2.09852,Final_value:__OLR_&_NCEP_winds
1699,1979,1,25,-1.6269999999999998,-0.0712,1,1.6285598999999997,Final_value:__OLR_&_NCEP_winds
1700,1979,1,26,-1.2993299999999999,0.046,8,1.30015,Final_value:__OLR_&_NCEP_winds
1701,1979,1,27,-1.0233001,-0.27015999,1,1.05836,Final_value:__OLR_&_NCEP_winds
1702,1979,1,28,-0.65562999,-0.48423999999999995,1,0.81506902,Final_value:__OLR_&_NCEP_winds
1703,1979,1,29,-0.39502001,-0.4919,2,0.63087499,Final_value:__OLR_&_NCEP_winds
1704,1979,1,30,-0.18128,-0.74539,2,0.76711899,Final_value:__OLR_&_NCEP_winds
1705,1979,1,31,0.128084,-0.58240002,3,0.59631401,Final_value:__OLR_&_NCEP_winds
1706,1979,2,1,0.29133001,0.0258,5,0.29246700000000003,Final_value:__OLR_&_NCEP_winds
1707,1979,2,2,0.0228,0.165766,6,0.16732401,Final_value:__OLR_&_NCEP_winds
1708,1979,2,3,-0.21459,-0.14203,1,0.25733101,Final_value:__OLR_&_NCEP_winds
1709,1979,2,4,-0.32266,-0.49125001,2,0.58773398,Final_value:__OLR_&_NCEP_winds
1710,1979,2,5,-0.35425001,-0.51427001,2,0.62447,Final_value:__OLR_&_NCEP_winds
1711,1979,2,6,-0.50365001,-0.6903100000000001,2,0.85451299,Final_value:__OLR_&_NCEP_winds
1712,1979,2,7,-0.35501,-0.85974997,2,0.930161,Final_value:__OLR_&_NCEP_winds
1713,1979,2,8,-0.0662,-1.0451601000000001,2,1.04725,Final_value:__OLR_&_NCEP_winds
1714,1979,2,9,0.18425401,-1.18536,3,1.19959,Final_value:__OLR_&_NCEP_winds
1715,1979,2,10,0.35939601,-1.3551,3,1.40195,Final_value:__OLR_&_NCEP_winds
1716,1979,2,11,0.384312,-1.44981,3,1.4998799999999999,Final_value:__OLR_&_NCEP_winds
1717,1979,2,12,0.46744999,-1.42767,3,1.50225,Final_value:__OLR_&_NCEP_winds
1718,1979,2,13,0.68421501,-1.7021700000000002,3,1.83454,Final_value:__OLR_&_NCEP_winds
1719,1979,2,14,0.69328398,-1.7152900000000002,3,1.8501,Final_value:__OLR_&_NCEP_winds
1720,1979,2,15,0.76665097,-1.5529799,3,1.7319099999999998,Final_value:__OLR_&_NCEP_winds
1721,1979,2,16,0.76698601,-1.5667200000000001,3,1.7443799999999998,Final_value:__OLR_&_NCEP_winds
1722,1979,2,17,0.49177501,-1.3446701,3,1.43177,Final_value:__OLR_&_NCEP_winds
1723,1979,2,18,0.329052,-0.85293001,3,0.91420603,Final_value:__OLR_&_NCEP_winds
1724,1979,2,19,0.67793,-0.47705999,4,0.82896203,Final_value:__OLR_&_NCEP_winds
1725,1979,2,20,0.98772299,-0.34391001,4,1.04588,Final_value:__OLR_&_NCEP_winds
1726,1979,2,21,0.82038498,-0.10587,4,0.82718801,Final_value:__OLR_&_NCEP_winds
1727,1979,2,22,0.83217001,-0.15549000000000002,4,0.84657198,Final_value:__OLR_&_NCEP_winds
