,Year,Month,Day,Phase
0,1979,9,1,1
1,1979,9,2,1
2,1979,9,3,1
3,1979,9,4,1
4,1979,9,5,1
5,1979,9,6,1
6,1979,9,7,1
7,1979,9,8,2
8,1979,9,9,2
9,1979,9,10,1
10,1979,9,11,1
11,1979,9,12,2
12,1979,9,13,1
13,1979,9,14,1
14,1979,9,15,1
15,1979,9,16,2
16,1979,9,17,2
17,1979,9,18,2
18,1979,9,19,3
19,1979,9,20,3
20,1979,9,21,3
21,1979,9,22,4
22,1979,9,23,4
23,1979,9,24,4
24,1979,9,25,4
25,1979,9,26,5
26,1979,9,27,5
27,1979,9,28,5
28,1979,9,29,5
29,1979,9,30,5
30,1979,10,1,5
31,1979,10,2,5
32,1979,10,3,5
33,1979,10,4,5
34,1979,10,5,5
35,1979,10,6,6
36,1979,10,7,6
37,1979,10,8,6
38,1979,10,9,6
39,1979,10,10,6
40,1979,10,11,6
41,1979,10,12,6
42,1979,10,13,6
43,1979,10,14,6
44,1979,10,15,7
45,1979,10,16,7
46,1979,10,17,7
47,1979,10,18,8
48,1979,10,19,8
49,1979,10,20,8
50,1979,10,21,8
51,1979,10,22,8
52,1979,10,23,1
53,1979,10,24,1
54,1979,10,25,1
55,1979,10,26,1
56,1979,10,27,1
57,1979,10,28,1
58,1979,10,29,1
59,1979,10,30,1
60,1979,10,31,2
61,1979,11,1,2
62,1979,11,2,2
63,1979,11,3,2
64,1979,11,4,2
65,1979,11,5,3
66,1979,11,6,3
67,1979,11,7,3
68,1979,11,8,2
69,1979,11,9,3
70,1979,11,10,3
71,1979,11,11,2
72,1979,11,12,2
73,1979,11,13,2
74,1979,11,14,2
75,1979,11,15,2
76,1979,11,16,2
77,1979,11,17,3
78,1979,11,18,3
79,1979,11,19,3
80,1979,11,20,3
81,1979,11,21,3
82,1979,11,22,3
83,1979,11,23,3
84,1979,11,24,3
85,1979,11,25,3
86,1979,11,26,4
87,1979,11,27,4
88,1979,11,28,4
89,1979,11,29,4
90,1979,11,30,4
91,1980,9,1,4
92,1980,9,2,4
93,1980,9,3,4
94,1980,9,4,5
95,1980,9,5,5
96,1980,9,6,5
97,1980,9,7,5
98,1980,9,8,5
99,1980,9,9,5
100,1980,9,10,5
101,1980,9,11,6
102,1980,9,12,6
103,1980,9,13,6
104,1980,9,14,6
105,1980,9,15,7
106,1980,9,16,7
107,1980,9,17,8
108,1980,9,18,1
109,1980,9,19,1
110,1980,9,20,1
111,1980,9,21,1
112,1980,9,22,1
113,1980,9,23,1
114,1980,9,24,1
115,1980,9,25,1
116,1980,9,26,8
117,1980,9,27,8
118,1980,9,28,8
119,1980,9,29,8
120,1980,9,30,8
121,1980,10,1,7
122,1980,10,2,7
123,1980,10,3,7
124,1980,10,4,2
125,1980,10,5,2
126,1980,10,6,2
127,1980,10,7,2
128,1980,10,8,2
129,1980,10,9,2
130,1980,10,10,2
131,1980,10,11,2
132,1980,10,12,3
133,1980,10,13,3
134,1980,10,14,3
135,1980,10,15,3
136,1980,10,16,3
137,1980,10,17,4
138,1980,10,18,4
139,1980,10,19,5
140,1980,10,20,5
141,1980,10,21,5
142,1980,10,22,5
143,1980,10,23,5
144,1980,10,24,5
145,1980,10,25,5
146,1980,10,26,5
147,1980,10,27,6
148,1980,10,28,6
149,1980,10,29,6
150,1980,10,30,7
151,1980,10,31,7
152,1980,11,1,7
153,1980,11,2,7
154,1980,11,3,7
155,1980,11,4,7
156,1980,11,5,8
157,1980,11,6,8
158,1980,11,7,8
159,1980,11,8,8
160,1980,11,9,8
161,1980,11,10,1
162,1980,11,11,1
163,1980,11,12,1
164,1980,11,13,2
165,1980,11,14,2
166,1980,11,15,2
167,1980,11,16,2
168,1980,11,17,2
169,1980,11,18,2
170,1980,11,19,2
171,1980,11,20,3
172,1980,11,21,3
173,1980,11,22,4
174,1980,11,23,3
175,1980,11,24,4
176,1980,11,25,6
177,1980,11,26,8
178,1980,11,27,8
179,1980,11,28,1
180,1980,11,29,1
181,1980,11,30,2
182,1981,9,1,2
183,1981,9,2,2
184,1981,9,3,2
185,1981,9,4,2
186,1981,9,5,2
187,1981,9,6,2
188,1981,9,7,2
189,1981,9,8,2
190,1981,9,9,2
191,1981,9,10,2
192,1981,9,11,2
193,1981,9,12,2
194,1981,9,13,2
195,1981,9,14,3
196,1981,9,15,3
197,1981,9,16,4
198,1981,9,17,4
199,1981,9,18,4
200,1981,9,19,5
201,1981,9,20,5
202,1981,9,21,5
203,1981,9,22,5
204,1981,9,23,5
205,1981,9,24,5
206,1981,9,25,5
207,1981,9,26,5
208,1981,9,27,5
209,1981,9,28,5
210,1981,9,29,6
211,1981,9,30,6
212,1981,10,1,6
213,1981,10,2,7
214,1981,10,3,7
215,1981,10,4,8
216,1981,10,5,8
217,1981,10,6,8
218,1981,10,7,1
219,1981,10,8,1
220,1981,10,9,1
221,1981,10,10,1
222,1981,10,11,1
223,1981,10,12,1
224,1981,10,13,1
225,1981,10,14,1
226,1981,10,15,4
227,1981,10,16,5
228,1981,10,17,6
229,1981,10,18,6
230,1981,10,19,6
231,1981,10,20,5
232,1981,10,21,3
233,1981,10,22,3
234,1981,10,23,2
235,1981,10,24,2
236,1981,10,25,2
237,1981,10,26,2
238,1981,10,27,2
239,1981,10,28,3
240,1981,10,29,2
241,1981,10,30,3
242,1981,10,31,2
243,1981,11,1,2
244,1981,11,2,3
245,1981,11,3,4
246,1981,11,4,4
247,1981,11,5,4
248,1981,11,6,4
249,1981,11,7,4
250,1981,11,8,4
251,1981,11,9,3
252,1981,11,10,4
253,1981,11,11,4
254,1981,11,12,4
255,1981,11,13,6
256,1981,11,14,7
257,1981,11,15,7
258,1981,11,16,7
259,1981,11,17,8
260,1981,11,18,1
261,1981,11,19,1
262,1981,11,20,2
263,1981,11,21,2
264,1981,11,22,3
265,1981,11,23,4
266,1981,11,24,4
267,1981,11,25,4
268,1981,11,26,3
269,1981,11,27,3
270,1981,11,28,4
271,1981,11,29,4
272,1981,11,30,5
273,1982,9,1,6
274,1982,9,2,6
275,1982,9,3,6
276,1982,9,4,6
277,1982,9,5,6
278,1982,9,6,6
279,1982,9,7,6
280,1982,9,8,5
281,1982,9,9,5
282,1982,9,10,5
283,1982,9,11,4
284,1982,9,12,4
285,1982,9,13,7
286,1982,9,14,7
287,1982,9,15,7
288,1982,9,16,1
289,1982,9,17,1
290,1982,9,18,1
291,1982,9,19,1
292,1982,9,20,1
293,1982,9,21,1
294,1982,9,22,1
295,1982,9,23,2
296,1982,9,24,2
297,1982,9,25,2
298,1982,9,26,1
299,1982,9,27,2
300,1982,9,28,1
301,1982,9,29,1
302,1982,9,30,1
303,1982,10,1,1
304,1982,10,2,1
305,1982,10,3,1
306,1982,10,4,8
307,1982,10,5,8
308,1982,10,6,7
309,1982,10,7,7
310,1982,10,8,7
311,1982,10,9,7
312,1982,10,10,8
313,1982,10,11,8
314,1982,10,12,8
315,1982,10,13,8
316,1982,10,14,8
317,1982,10,15,2
318,1982,10,16,3
319,1982,10,17,3
320,1982,10,18,3
321,1982,10,19,2
322,1982,10,20,2
323,1982,10,21,2
324,1982,10,22,1
325,1982,10,23,1
326,1982,10,24,1
327,1982,10,25,2
328,1982,10,26,2
329,1982,10,27,2
330,1982,10,28,2
331,1982,10,29,2
332,1982,10,30,2
333,1982,10,31,2
334,1982,11,1,2
335,1982,11,2,2
336,1982,11,3,2
337,1982,11,4,3
338,1982,11,5,3
339,1982,11,6,4
340,1982,11,7,4
341,1982,11,8,5
342,1982,11,9,5
343,1982,11,10,5
344,1982,11,11,6
345,1982,11,12,7
346,1982,11,13,7
347,1982,11,14,7
348,1982,11,15,7
349,1982,11,16,7
350,1982,11,17,8
351,1982,11,18,8
352,1982,11,19,8
353,1982,11,20,8
354,1982,11,21,8
355,1982,11,22,1
356,1982,11,23,1
357,1982,11,24,1
358,1982,11,25,2
359,1982,11,26,2
360,1982,11,27,3
361,1982,11,28,3
362,1982,11,29,3
363,1982,11,30,3
364,1983,9,1,2
365,1983,9,2,2
366,1983,9,3,1
367,1983,9,4,1
368,1983,9,5,1
369,1983,9,6,2
370,1983,9,7,2
371,1983,9,8,2
372,1983,9,9,2
373,1983,9,10,2
374,1983,9,11,2
375,1983,9,12,2
376,1983,9,13,2
377,1983,9,14,2
378,1983,9,15,3
379,1983,9,16,3
380,1983,9,17,3
381,1983,9,18,4
382,1983,9,19,4
383,1983,9,20,4
384,1983,9,21,4
385,1983,9,22,4
386,1983,9,23,4
387,1983,9,24,4
388,1983,9,25,5
389,1983,9,26,5
390,1983,9,27,5
391,1983,9,28,5
392,1983,9,29,5
393,1983,9,30,5
394,1983,10,1,5
395,1983,10,2,5
396,1983,10,3,5
397,1983,10,4,5
398,1983,10,5,5
399,1983,10,6,5
400,1983,10,7,5
401,1983,10,8,5
402,1983,10,9,5
403,1983,10,10,6
404,1983,10,11,6
405,1983,10,12,6
406,1983,10,13,8
407,1983,10,14,8
408,1983,10,15,1
409,1983,10,16,1
410,1983,10,17,2
411,1983,10,18,2
412,1983,10,19,2
413,1983,10,20,2
414,1983,10,21,2
415,1983,10,22,3
416,1983,10,23,4
417,1983,10,24,5
418,1983,10,25,5
419,1983,10,26,5
420,1983,10,27,6
421,1983,10,28,6
422,1983,10,29,6
423,1983,10,30,5
424,1983,10,31,5
425,1983,11,1,5
426,1983,11,2,6
427,1983,11,3,6
428,1983,11,4,6
429,1983,11,5,7
430,1983,11,6,7
431,1983,11,7,7
432,1983,11,8,8
433,1983,11,9,8
434,1983,11,10,8
435,1983,11,11,8
436,1983,11,12,6
437,1983,11,13,5
438,1983,11,14,5
439,1983,11,15,5
440,1983,11,16,5
441,1983,11,17,6
442,1983,11,18,6
443,1983,11,19,6
444,1983,11,20,6
445,1983,11,21,6
446,1983,11,22,6
447,1983,11,23,7
448,1983,11,24,7
449,1983,11,25,7
450,1983,11,26,7
451,1983,11,27,7
452,1983,11,28,7
453,1983,11,29,7
454,1983,11,30,7
455,1984,9,1,2
456,1984,9,2,2
457,1984,9,3,2
458,1984,9,4,1
459,1984,9,5,1
460,1984,9,6,1
461,1984,9,7,1
462,1984,9,8,8
463,1984,9,9,8
464,1984,9,10,8
465,1984,9,11,8
466,1984,9,12,8
467,1984,9,13,8
468,1984,9,14,7
469,1984,9,15,7
470,1984,9,16,7
471,1984,9,17,8
472,1984,9,18,8
473,1984,9,19,8
474,1984,9,20,8
475,1984,9,21,8
476,1984,9,22,8
477,1984,9,23,1
478,1984,9,24,2
479,1984,9,25,3
480,1984,9,26,4
481,1984,9,27,4
482,1984,9,28,5
483,1984,9,29,5
484,1984,9,30,5
485,1984,10,1,5
486,1984,10,2,5
487,1984,10,3,5
488,1984,10,4,5
489,1984,10,5,5
490,1984,10,6,5
491,1984,10,7,4
492,1984,10,8,4
493,1984,10,9,4
494,1984,10,10,5
495,1984,10,11,5
496,1984,10,12,5
497,1984,10,13,6
498,1984,10,14,7
499,1984,10,15,7
500,1984,10,16,7
501,1984,10,17,7
502,1984,10,18,7
503,1984,10,19,7
504,1984,10,20,7
505,1984,10,21,7
506,1984,10,22,7
507,1984,10,23,7
508,1984,10,24,8
509,1984,10,25,7
510,1984,10,26,7
511,1984,10,27,8
512,1984,10,28,8
513,1984,10,29,8
514,1984,10,30,8
515,1984,10,31,8
516,1984,11,1,1
517,1984,11,2,1
518,1984,11,3,1
519,1984,11,4,1
520,1984,11,5,1
521,1984,11,6,1
522,1984,11,7,1
523,1984,11,8,1
524,1984,11,9,1
525,1984,11,10,1
526,1984,11,11,1
527,1984,11,12,2
528,1984,11,13,2
529,1984,11,14,2
530,1984,11,15,2
531,1984,11,16,2
532,1984,11,17,3
533,1984,11,18,3
534,1984,11,19,3
535,1984,11,20,3
536,1984,11,21,3
537,1984,11,22,3
538,1984,11,23,3
539,1984,11,24,2
540,1984,11,25,2
541,1984,11,26,2
542,1984,11,27,2
543,1984,11,28,2
544,1984,11,29,3
545,1984,11,30,3
546,1985,9,1,4
547,1985,9,2,5
548,1985,9,3,8
549,1985,9,4,1
550,1985,9,5,2
551,1985,9,6,1
552,1985,9,7,1
553,1985,9,8,1
554,1985,9,9,2
555,1985,9,10,2
556,1985,9,11,2
557,1985,9,12,3
558,1985,9,13,3
559,1985,9,14,1
560,1985,9,15,8
561,1985,9,16,7
562,1985,9,17,8
563,1985,9,18,1
564,1985,9,19,1
565,1985,9,20,1
566,1985,9,21,8
567,1985,9,22,8
568,1985,9,23,8
569,1985,9,24,8
570,1985,9,25,8
571,1985,9,26,8
572,1985,9,27,8
573,1985,9,28,1
574,1985,9,29,1
575,1985,9,30,1
576,1985,10,1,1
577,1985,10,2,1
578,1985,10,3,2
579,1985,10,4,2
580,1985,10,5,2
581,1985,10,6,2
582,1985,10,7,2
583,1985,10,8,2
584,1985,10,9,3
585,1985,10,10,3
586,1985,10,11,5
587,1985,10,12,6
588,1985,10,13,6
589,1985,10,14,6
590,1985,10,15,6
591,1985,10,16,6
592,1985,10,17,6
593,1985,10,18,6
594,1985,10,19,7
595,1985,10,20,7
596,1985,10,21,7
597,1985,10,22,7
598,1985,10,23,8
599,1985,10,24,8
600,1985,10,25,8
601,1985,10,26,8
602,1985,10,27,8
603,1985,10,28,8
604,1985,10,29,8
605,1985,10,30,1
606,1985,10,31,1
607,1985,11,1,1
608,1985,11,2,1
609,1985,11,3,2
610,1985,11,4,2
611,1985,11,5,2
612,1985,11,6,3
613,1985,11,7,3
614,1985,11,8,3
