,WT,AO,NAO,PNA,NINO
0,6,-1.9369999999999998,-0.762,0.473,
1,6,-2.037,-0.767,0.34299999999999997,
2,1,-1.811,-0.8140000000000001,0.414,
3,1,-1.733,-0.767,0.857,
4,1,-1.814,-0.332,1.235,
5,1,-1.419,0.121,0.893,
6,1,-0.742,0.502,0.52,
7,1,-0.121,0.9440000000000001,0.29,
8,2,0.445,1.3719999999999999,0.18899999999999997,
9,1,0.435,1.5219999999999998,0.414,
10,1,0.034,1.355,0.644,
11,6,-0.4,1.168,0.61,
12,6,-0.521,1.025,0.41,
13,5,-0.507,0.8220000000000001,0.139,
14,1,-0.26,0.84,0.23800000000000002,
15,1,0.5760000000000001,1.079,0.593,
16,6,1.341,1.165,0.977,
17,1,1.788,0.653,0.684,
18,1,1.567,0.057,0.11,
19,1,0.6559999999999999,-0.31,-0.13699999999999998,
20,5,0.7070000000000001,0.131,-0.016,
21,1,1.065,0.6920000000000001,-0.091,
22,2,1.069,0.687,0.128,
23,6,1.197,0.9309999999999999,0.87,
24,6,1.151,0.8959999999999999,0.9790000000000001,
25,1,1.2209999999999999,0.8490000000000001,1.6540000000000001,
26,6,0.987,0.7859999999999999,2.742,
27,6,0.10099999999999999,0.386,3.142,
28,1,-0.98,0.07200000000000001,2.8310000000000004,
29,1,-1.392,-0.086,2.565,
30,1,-1.395,-0.17800000000000002,2.707,
31,3,-1.5719999999999998,-0.307,2.269,
32,5,-1.76,-0.466,2.227,
33,5,-1.3319999999999999,-0.674,2.092,
34,3,-1.334,-0.58,1.571,
35,3,-2.079,-0.524,1.3,
36,3,-2.9160000000000004,-0.542,0.8270000000000001,
37,4,-3.471,-0.5820000000000001,1.02,
38,3,-3.237,-0.7759999999999999,1.3259999999999998,
39,3,-2.189,-1.099,1.114,
40,3,-1.7080000000000002,-1.396,1.281,
41,3,-1.6880000000000002,-1.4409999999999998,1.218,
42,3,-1.422,-0.852,0.995,
43,4,-1.827,-0.745,1.123,
44,7,-2.279,-0.581,1.0290000000000001,
45,7,-0.618,-0.071,0.726,
46,7,0.935,0.47100000000000003,0.301,
47,7,1.54,0.475,-0.435,
48,6,1.6030000000000002,0.321,-0.945,
49,5,1.103,0.262,-0.8390000000000001,
50,6,-0.026000000000000002,0.183,-0.321,
51,6,-0.469,0.32299999999999995,0.17,
52,5,-0.6920000000000001,0.466,0.5539999999999999,
53,3,-1.3869999999999998,0.128,0.795,
54,4,-1.571,-0.001,0.92,
55,4,-1.03,0.485,0.987,
56,4,-0.853,0.961,0.8220000000000001,
57,4,-1.172,0.9520000000000001,0.799,
58,4,-1.535,0.626,0.8009999999999999,
59,7,-1.4180000000000001,0.22399999999999998,0.748,
60,6,-1.375,-0.182,0.526,
61,6,-1.6680000000000001,-0.326,0.191,
62,5,-1.608,0.055,-0.024,
63,3,-0.157,0.873,-0.059000000000000004,
64,7,1.169,1.186,-0.517,
65,7,0.9490000000000001,0.8959999999999999,-0.746,
66,7,0.049,0.687,-0.48700000000000004,
67,7,-0.488,0.5770000000000001,-0.231,
68,5,-0.8220000000000001,0.265,-0.451,
69,5,-0.701,0.075,-0.804,
70,5,-0.34,0.201,-0.917,
71,5,0.37799999999999995,0.43700000000000006,-0.851,
72,7,0.972,0.664,-0.644,
73,5,0.823,0.441,-0.252,
74,3,0.23800000000000002,-0.043,0.171,
75,4,-0.26,-0.131,0.6709999999999999,
76,4,0.142,0.203,1.0090000000000001,
77,4,0.616,0.6629999999999999,0.907,
78,4,-0.03,0.473,0.624,
79,7,-0.78,0.209,0.664,
80,7,-0.442,0.024,0.981,
81,7,0.723,-0.011000000000000001,1.037,
82,7,1.9369999999999998,-0.07400000000000001,1.0,
83,5,2.7889999999999997,-0.22699999999999998,0.406,
84,5,2.864,-0.18600000000000003,-0.059000000000000004,
85,6,2.397,0.009000000000000001,0.157,
86,5,1.64,0.28,0.325,
87,5,-0.17,0.073,0.424,
88,5,-0.27,0.151,0.784,
89,3,1.01,0.452,0.887,
90,4,2.78,1.045,0.728,
91,6,1.038,-0.486,-1.125,
92,1,1.228,-0.15,-0.687,
93,1,1.084,-0.06,-0.565,
94,6,0.83,-0.273,-0.48200000000000004,
95,6,1.032,-0.335,-0.43799999999999994,
96,1,1.253,-0.005,-0.597,
97,1,1.319,0.057999999999999996,-0.583,
98,1,1.296,0.326,-0.555,
99,1,1.385,0.364,-0.62,
100,1,1.068,0.1,-0.40299999999999997,
101,1,0.256,-0.067,-0.16699999999999998,
102,1,-0.42700000000000005,-0.012,0.141,
103,6,-0.54,-0.057999999999999996,0.6729999999999999,
104,1,-0.354,0.331,1.0490000000000002,
105,1,-0.389,0.574,0.708,
106,1,-0.228,0.5329999999999999,0.151,
107,5,-0.237,0.147,-0.2,
108,1,-0.17,0.17800000000000002,-0.215,
109,6,-0.08800000000000001,0.708,0.439,
110,6,-0.375,1.036,0.9590000000000001,
111,1,-0.506,0.961,0.6859999999999999,
112,1,-0.23800000000000002,0.584,0.154,
113,1,-0.013000000000000001,0.49200000000000005,-0.374,
114,1,-0.059000000000000004,0.539,-0.987,
115,5,0.002,0.555,-0.8420000000000001,
116,1,-0.034,0.715,-0.14800000000000002,
117,7,-0.637,0.523,0.21600000000000003,
118,7,-0.331,0.833,0.11800000000000001,
119,6,0.69,0.932,-0.33,
120,1,1.187,0.688,-0.635,
121,1,0.815,0.599,1.218,
122,3,0.131,0.511,1.52,
123,3,-0.473,0.444,2.265,
124,3,-0.36200000000000004,0.7040000000000001,2.569,
125,1,-0.213,0.652,2.47,
126,2,0.401,0.195,2.477,
127,1,0.748,-0.413,1.8030000000000002,
128,1,0.941,-0.8009999999999999,1.004,
129,1,0.461,-0.852,0.401,
130,1,-0.605,-1.094,0.276,
131,3,-1.018,-1.074,0.701,
132,3,-1.176,-0.736,0.9009999999999999,
133,4,-1.942,-0.89,0.8420000000000001,
134,4,-2.862,-1.445,0.7659999999999999,
135,7,-2.6689999999999996,-1.68,0.8170000000000001,
136,7,-1.956,-1.5019999999999998,0.8759999999999999,
137,5,-1.357,-1.3980000000000001,0.695,
138,5,-0.8420000000000001,-1.4469999999999998,0.693,
139,3,-0.414,-1.546,0.841,
140,4,-0.66,-1.645,0.977,
141,4,-0.7090000000000001,-1.6480000000000001,0.992,
142,4,-0.845,-1.534,1.102,
143,7,-0.977,-1.517,1.075,
144,6,-1.089,-1.432,1.081,
145,5,-1.018,-1.24,0.9440000000000001,
146,3,-0.983,-1.072,0.792,
147,4,-0.7909999999999999,-0.792,1.107,
148,5,0.231,-0.33,1.436,
149,4,1.334,0.165,1.248,
150,7,1.256,0.665,0.987,
151,4,1.0590000000000002,0.76,1.113,
152,4,0.59,0.8,1.3880000000000001,
153,4,-0.185,0.7020000000000001,1.4669999999999999,
154,7,-1.49,0.249,1.325,
155,5,-2.2640000000000002,-0.086,1.182,
156,3,-2.9010000000000002,-0.62,1.105,
157,4,-2.978,-0.8859999999999999,0.981,
158,4,-1.87,-0.863,0.5329999999999999,
159,3,-1.331,-1.1520000000000001,0.142,
160,5,-1.925,-1.1340000000000001,0.179,
161,4,-2.106,-1.1420000000000001,0.5820000000000001,
162,4,-2.231,-1.416,0.85,
163,4,-2.353,-1.3730000000000002,0.8759999999999999,
164,7,-1.824,-0.682,0.557,
165,7,-0.645,0.146,0.35200000000000004,
166,7,-0.33399999999999996,0.512,0.8490000000000001,
167,4,-0.402,0.49,1.2329999999999999,
168,7,-0.14800000000000002,0.552,1.2009999999999998,
169,3,-0.092,0.507,0.9079999999999999,
170,4,-0.635,0.5,0.795,
171,7,-0.754,0.679,0.752,
172,7,-0.265,0.7979999999999999,0.508,
173,4,-0.23199999999999998,0.6779999999999999,0.461,
174,7,-0.505,0.42100000000000004,0.41,
175,5,-0.774,0.252,0.517,
176,7,-0.545,0.083,0.633,
177,7,-1.16,-0.057999999999999996,0.821,
178,7,-2.048,-0.5660000000000001,0.882,
179,5,-2.5540000000000003,-0.972,0.41,
180,3,-2.9210000000000003,-1.19,-0.124,
181,4,-2.5,-0.9420000000000001,-0.32,
182,2,-1.959,0.226,0.624,
183,2,-2.012,0.048,0.536,
184,2,-1.694,-0.36,0.9309999999999999,
185,2,-1.4969999999999999,-0.293,1.34,
186,2,-1.037,-0.012,1.149,
187,2,-0.95,0.018000000000000002,0.716,
188,2,-0.992,-0.20600000000000002,0.6920000000000001,
189,1,-0.9540000000000001,-0.637,0.643,
190,3,-1.208,-0.996,0.617,
191,1,-1.385,-1.278,0.381,
192,1,-1.193,-1.431,-0.18899999999999997,
193,1,-1.268,-1.535,-0.505,
194,1,-1.54,-1.726,-0.701,
195,1,-1.597,-1.5759999999999998,-0.654,
196,1,-1.54,-1.228,-0.631,
197,1,-1.2309999999999999,-0.895,-0.743,
198,1,-0.7,-0.62,-0.742,
199,1,-0.358,-0.55,-0.276,
200,3,-0.049,-0.9079999999999999,-0.10400000000000001,
201,3,-0.07400000000000001,-1.246,-0.429,
202,1,0.484,-0.752,-0.396,
203,1,0.925,-0.01,-0.064,
204,2,1.222,0.051,0.062,
205,2,0.6679999999999999,-0.159,0.309,
206,7,-0.384,-0.196,0.353,
207,6,-1.382,-0.293,-0.213,
208,5,-1.655,-0.607,-0.8420000000000001,
209,1,-1.9069999999999998,-0.8809999999999999,-0.20199999999999999,
210,4,-2.372,-1.262,0.7240000000000001,
211,7,-2.457,-1.577,0.5379999999999999,
212,1,-2.271,-1.855,-0.637,
213,3,-2.537,-2.048,-1.203,
214,4,-3.076,-2.461,-1.298,
215,4,-3.0189999999999997,-2.62,-1.511,
216,1,-2.8680000000000003,-2.588,-1.713,
217,1,-2.552,-2.539,-1.499,
218,3,-2.083,-2.4330000000000003,-0.727,
219,4,-2.125,-2.404,-0.272,
220,4,-2.28,-2.1919999999999997,-0.507,
221,2,-1.871,-1.7,-0.7809999999999999,
222,2,-1.663,-1.151,-0.445,
